,комнаты,площадь,жилая площадь,площадь кухни,этаж,этажей в доме,год постройки,экология_1,экология_2,экология_3,социальные_1,социальные_2,социальные_3,здравоохранение_1,здравоохранение_2,магазины_1,магазины_2,цена,здравоохранение_1_y,здравоохранение_2_y,магазины_1_y,магазины_2_y,цена_y
0,3.0,115.02731063267048,,10.0,4,10.0,2014,0.07542368,B,B,11,3097,0,,0,0,B,305018.8710894109,,0.0,0.0,B,305018.8710894109
1,1.0,39.83252387029935,23.16922266530641,8.0,7,8.0,1966,0.118537385,B,B,30,6207,1,1183.0,1,0,B,177734.55340714107,,,,,
2,3.0,78.34221506646014,47.67197161462768,10.0,2,17.0,1988,0.025609157,B,B,33,5261,0,240.0,3,1,B,282078.7208500433,240.0,3.0,1.0,B,282078.7208500433
3,1.0,40.40990691527505,,1.0,10,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B,168106.00763001086,,,,,
4,2.0,64.28506724828556,38.56251674804049,9.0,16,16.0,1972,0.282797669,B,B,33,8667,2,,0,6,B,343995.10296205425,,0.0,6.0,B,343995.10296205425
5,3.0,62.52846461595018,47.10383298933234,6.0,9,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B,161044.94413780785,,,,,
6,1.0,33.938750019723045,21.77293026842016,9.0,1,12.0,1968,0.232205084,B,B,24,4860,1,80.0,0,3,B,142402.73927153,,,,,
7,2.0,50.3918142242363,32.89325633384121,8.0,8,17.0,1986,0.019508796,B,B,37,7687,11,176.0,5,5,B,326174.1751906913,176.0,5.0,5.0,B,326174.1751906913
8,1.0,46.88789179234404,44.62813153648891,1.0,12,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B,160400.40173203114,,,,,
9,3.0,79.86747667320513,75.08512538271577,1.0,3,17.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B,194756.02394527625,,,,,
10,3.0,74.19904875578756,44.73588895764597,10.0,5,14.0,2008,0.035145267,B,B,42,9292,3,2620.0,0,3,B,512797.3734005682,2620.0,0.0,3.0,B,512797.3734005682
11,2.0,53.97514357835883,34.15358375347871,8.0,2,12.0,1978,0.127375905,B,B,43,8429,3,,3,9,B,253124.0053320823,,3.0,9.0,B,253124.0053320823
12,1.0,47.56444337054507,23.574422811627468,13.0,9,24.0,2012,0.050900058,B,B,43,10621,1,30.0,2,3,B,199556.8659052025,,,,,
13,2.0,43.87102586277203,26.11438626655661,5.0,5,9.0,1969,0.265088676,B,B,37,5288,0,1937.0,3,2,B,213001.5152692308,,,,,
14,3.0,81.99479026880738,43.68879835806401,10.0,2,22.0,2008,0.08761909,B,B,8,1497,5,,1,0,B,481360.3607276174,,1.0,0.0,B,481360.3607276174
15,1.0,36.67340725700864,16.285522177555233,9.0,3,12.0,2003,0.041116354,B,B,53,14892,4,,1,4,B,168143.3456997873,,,,,
16,1.0,44.825250190495375,24.240045212498355,8.0,7,12.0,1981,0.041124634,B,B,46,9515,5,,1,10,B,207633.6602870756,,,,,
17,2.0,49.39599972865716,28.299600040195045,5.0,6,5.0,1962,0.458174486,B,A,26,4439,1,1130.0,1,5,B,186971.9265661055,,,,,
18,1.0,47.582479895571225,,1.0,16,16.0,1977,0.007122317,B,B,1,264,0,,0,1,B,128803.59381001432,,,,,
19,1.0,42.367288692851375,40.012528663007295,1.0,16,14.0,2015,0.195781053,B,B,23,5212,6,,3,2,B,250466.98077681608,,3.0,2.0,B,250466.98077681608
20,1.0,50.97489077227677,,1.0,7,16.0,2018,0.23861713,B,B,26,3889,6,705.0,3,6,B,260328.41337559265,705.0,3.0,6.0,B,260328.41337559265
21,3.0,75.61106465625633,47.49462144277383,8.0,11,9.0,1976,0.019508796,B,B,37,7687,11,176.0,5,5,B,366916.2464940092,176.0,5.0,5.0,B,366916.2464940092
22,3.0,86.32636026251232,46.09724096684023,10.0,3,17.0,1986,0.0,B,B,23,5067,4,,2,6,B,421803.7487527664,,2.0,6.0,B,421803.7487527664
23,1.0,38.174327931544674,23.12301444721017,9.0,6,12.0,1969,0.014423114,B,B,19,3806,4,,0,3,B,194273.0445550664,,,,,
24,1.0,44.20394691086295,,0.0,2,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A,135466.55995845908,,,,,
25,2.0,65.40996541571897,,1.0,18,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B,191205.27260844488,,,,,
26,3.0,83.26252987516949,4.7691744289810005,1.0,13,1.0,1977,0.127375905,B,B,43,8429,3,,3,9,B,410883.89201982936,,3.0,9.0,B,410883.89201982936
27,2.0,52.96691455467195,33.79333603319955,8.0,13,14.0,1985,0.0077202819999999,B,B,38,4788,2,,0,4,B,235998.2077440021,,0.0,4.0,B,235998.2077440021
28,1.0,34.127058575140786,19.435737708983076,6.0,5,5.0,1960,0.111627393,B,B,50,12238,8,1970.0,2,3,B,173155.77077902228,,,,,
29,2.0,53.19964976411252,32.45905229638281,9.0,3,3.0,2019,0.005767451,B,B,1,388,0,,0,0,B,94061.94357934452,,,,,
30,1.0,43.03339773536077,,1.0,3,4.0,1977,0.014072961,B,B,2,475,0,,0,0,B,72659.97157533352,,,,,
31,1.0,47.83762991944312,22.2977391797552,1.0,21,24.0,2014,0.060753049,B,B,15,2787,2,520.0,0,7,B,233717.2987088421,520.0,0.0,7.0,B,233717.2987088421
32,4.0,104.76902158523696,79.31665044874494,8.0,4,8.0,1960,0.200146802,B,B,23,3975,8,770.0,2,0,B,600903.8285622502,770.0,2.0,0.0,B,600903.8285622502
33,2.0,73.31497505994463,74.13126066002347,1.0,7,6.0,1977,0.075778755,B,B,6,1437,3,,0,2,B,254005.38186295828,,0.0,2.0,B,254005.38186295828
34,2.0,58.78366099380082,55.441255821329314,11.0,13,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B,138396.98461170195,,,,,
35,2.0,65.8329536451764,,1.0,11,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B,193398.61374915,,,,,
36,2.0,46.76017688460839,29.82914715605585,6.0,4,9.0,1974,0.089039719,B,B,33,7976,5,,0,11,B,203384.3280258776,,,,,
37,1.0,78.9361644571503,76.74665410997709,1.0,8,7.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B,226206.96243502828,30.0,2.0,4.0,B,226206.96243502828
38,2.0,55.521797407031706,,0.0,3,4.0,1977,0.034656082,B,B,0,168,0,,0,0,B,93217.7529240404,,,,,
39,2.0,56.71277142064889,36.45406385517439,7.0,6,5.0,1956,0.050272014,B,B,21,4231,14,1020.0,0,3,B,299177.50263524376,1020.0,0.0,3.0,B,299177.50263524376
40,1.0,32.99499423527054,17.717022189890667,5.0,4,5.0,1963,0.033493708,B,B,66,10573,1,1322.0,3,8,B,158611.39437663936,,,,,
41,3.0,80.91644470821366,52.86178492766021,8.0,2,5.0,1961,0.020741326,B,B,24,5613,5,1340.0,2,5,B,308656.41967736284,1340.0,2.0,5.0,B,308656.41967736284
